CAT_ID,DOB,COUNTRY,FUR_COLOUR,BLOOD_TYPE,SEX
1,2012-06-14,ICELAND,PURPLE,R+,MALE
2,2012-08-30,ICELAND,BLUE,R-,FEMALE
3,2012-09-05,CHAD,RED,R+,FEMALE
4,2012-10-09,ICELAND,PURPLE,R+,MALE
5,2013-01-01,CHAD,PINK,R-,FEMALE
6,2013-01-19,CHAD,BLUE,R-,MALE
7,2013-02-23,CHAD,BLUE,R+,MALE
8,2013-04-15,ICELAND,PURPLE,R+,FEMALE
9,2013-04-18,CHAD,PINK,R-,MALE
10,2013-06-28,ICELAND,PINK,R+,FEMALE
11,2013-07-07,ICELAND,GREEN,R+,FEMALE
12,2013-08-19,ICELAND,BLUE,R-,MALE
13,2013-09-02,CHAD,RED,R+,MALE
14,2013-10-24,ICELAND,PINK,R-,FEMALE
15,2013-11-29,CHAD,RED,R-,FEMALE
